Identifier,State,Year,PublicFunding_Citation,PublicFunding_H,PublicFunding_H_type,PublicFunding_H_explain,Public Funding_H_Qualifying,PublicFunding_H_SpendLimit,PublicFunding_H_SpendLimit_Amount,PublicFunding_H_OtherConditions,PublicFunding_H_OtherConditions_Explained,PublicFunding_H_Trigger,PublicFunding_H_TriggerExplained,PublicFunding_H_Max,PublicFunding_H_Solicitation-by-Cand_Party,PublicFunding_H_Solicitation-by-Cand_Non-Party,PublicFunding_S,PublicFunding_S_type,PublicFunding_S_explain,Public Funding_S_Qualifying,PublicFunding_S_SpendLimit,PublicFunding_S_SpendLimit_Amount,PublicFunding_S_OtherConditions,PublicFunding_S_OtherConditions_Explained,PublicFunding_S_Trigger,PublicFunding_S_TriggerExplained,PublicFunding_S_Max,PublicFunding_S_Solicitation-by-Cand_Party,PublicFunding_S_Solicitation-by-Cand_Non-Party,PublicFunding_G,PublicFunding_G_type,PublicFunding_G_explain,Public Funding_G_Qualifying,PublicFunding_G_SpendLimit,PublicFunding_G_SpendLimit_Amount,PublicFunding_G_OtherConditions,PublicFunding_G_OtherConditions_Explained,PublicFunding_G_Trigger,PublicFunding_G_TriggerExplained,PublicFunding_G_Max,PublicFunding_G_Solicitation-by-Cand_Party,PublicFunding_G_Solicitation-by-Cand_Non-Party,PublicFunding_P,PublicFunding_P_Eligibility,PublicFunding_P_Formula,PublicFunding_P_TwoYrMax,SurchargePF,TaxCheckoffPF,DonatedPF,FilingRegFeesPF,FinesPF,GrantPF,UnexpendedPF,OtherPF,OtherPFExplain,SourcesofFunds,SpendingLimits_Other,SpendingLimits_Other_Explained
"RI2012","RI",2012,"17-25-19;20;23;24;29;     44-30-2","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","Matching Funds","2:1 public:qualified private dollars, cap $500 per source per cycle, 1:1 on private dollars on excess over $500 cap. Total cap on public & private funds: $1.5m (Gov). Match only first 2,000 from any private source","Raise qualified contributions equal to 20% of the total amount eligible to be matched for election; receive contributions from a minimum of 250 individuals for $25 or more (only first $2,000/single private source/cycle is eligible for matching funds)","Yes","2,116,000","No",,"Yes","Participating candidate can exceed cap if, and to the extent, non-participating candidate has outspent the cap.","1,058,000","No","No","Yes","All parties.","5% from pool per elected official from previous election, remainder apportioned according to party candidates's percentage of total votes for previous gubernatorial elections","The amount for all parties is limited to $400,000",,"Yes",,,,,,,,"R.I. Gen. Laws § 44-30-2 ;  Checkoffs, and an additional amount apportioned by legislature if necessary.",,
"RI2014","RI",2014,"17-25-19;20;23;24;29;     44-30-2","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","Matching Funds","2:1 public:qualified private dollars, cap $500 per source per cycle, 1:1 on private dollars on excess over $500 cap. Total cap on public & private funds: $1.5m (Gov). Match only first 2,000 from any private source","Raise qualified contributions equal to 20% of the total amount eligible to be matched for election; receive contributions from a minimum of 250 individuals for $25 or more (only first $2,000/single private source/cycle is eligible for matching funds)","Yes","2,254,000","No",,"Yes","Participating candidate can exceed cap if, and to the extent, non-participating candidate has outspent the cap.","1,127,000","No","No","Yes","All parties.","5% from pool per elected official from previous election, remainder apportioned according to party candidates's percentage of total votes for previous gubernatorial elections","The amount for all parties is limited to $400,000",,"Yes",,,,,,,,"R.I. Gen. Laws § 44-30-2 ;  Checkoffs, and an additional amount apportioned by legislature if necessary.",,
"RI2016","RI",2016,"17-25-19;20;23;24;29;     44-30-2","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","Matching Funds","2:1 public:qualified private dollars, cap $500 per source per cycle, 1:1 on private dollars on excess over $500 cap. Total cap on public & private funds: $1.5m (Gov). Match only first 2,000 from any private source","Raise qualified contributions equal to 20% of the total amount eligible to be matched for election; receive contributions from a minimum of 250 individuals for $25 or more (only first $2,000/single private source/cycle is eligible for matching funds)","Yes","2,254,000","No",,"Yes","Participating candidate can exceed cap if, and to the extent, non-participating candidate has outspent the cap.","1,127,000","No","No","Yes","All parties.","5% from pool per elected official from previous election, remainder apportioned according to party candidates's percentage of total votes for previous gubernatorial elections","The amount for all parties is limited to $400,000",,"RI",,,,,,,,"R.I. Gen. Laws § 44-30-2 ;  Checkoffs, and an additional amount apportioned by legislature if necessary.",,
"RI2018","RI",2018,"17-25-19;20;23;24;29;     44-30-2","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","Matching Funds","2:1 public:qualified private dollars, cap $500 per source per cycle, 1:1 on private dollars on excess over $500 cap. Total cap on public & private funds: $1.5m (Gov). Match only first 2,000 from any private source","Raise qualified contributions equal to 20% of the total amount eligible to be matched for election; receive contributions from a minimum of 250 individuals for $25 or more (only first $2,000/single private source/cycle is eligible for matching funds)","Yes","2,354,000","No",,"Yes","Candidates in a contested primary may raise and spend an additional amount of private funds equal to one-third of the maximum alloweable expenditure amount, or equal to the amount spent in total by the candidate's opponent or opponents, whichever is less. Participating candidate can exceed the spending cap if, and to the extent, a non-participating candidate has outspent the cap in the same election (primary and general are separate elections).","1,177,000","No","No","Yes","All parties.","5% from pool per elected official from previous election, remainder apportioned according to party candidates's percentage of total votes for previous gubernatorial elections","The amount for all parties is limited to $400,000",,"RI",,,,,,,,"R.I. Gen. Laws § 44-30-2(d) (1) There shall be allowed as a credit against the Rhode Island personal income tax otherwise due for a taxable year, commencing for the tax year 1988, a contribution of five dollars ($5.00), or ten dollars ($10.00) if married and filing a joint return, to the account for the public financing of the electoral system. The first two dollars ($2.00), or four dollars ($4.00) if married and filing a joint return, shall go to a political party as defined in § 17-12.1-12 to be designated by the taxpayer or to a nonpartisan account if so indicated up to a total of two hundred thousand dollars ($200,000) collectively for all parties and the nonpartisan account. The remainder shall be deposited as general revenue.
(2) The credit for the public financing of the electoral system shall appear on the face of the state personal income tax return. The tax administrator shall annually forward by August 1, all contributions to said account to the state general treasurer and the treasurer shall annually remit by September 1, the designated partisan contributions to the chairperson of the appropriate political party and the contributions made to the nonpartisan general account shall be allocated by the state general treasurer to each political party in proportion to the combined number of votes its candidates for governor received in the previous election, after five percent (5%) of the amount in the account is allocated to each party for each general officer elected in the previous statewide election. Each political party may expend moneys received under this provision for all purposes and activities permitted by the laws of Rhode Island and the United States, except that no such moneys shall be utilized for expenditures to be directly made or incurred to support or defeat a candidate in any election within the meaning of chapter 25 of title 17, or in any election for any political party nomination, or for political party office within the meaning of chapter 12 of title 17. The remaining funds shall be allocated for the public financing of campaigns for governor as set forth in §§ 17-25-19 – 17-25-27",,
"SC1996","SC",1996,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,,,,,,,,,,,
"SC1998","SC",1998,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"SC",,,,,,,,,,
"SC2000","SC",2000,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"SC",,,,,,,,,,
"SC2002","SC",2002,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"SC",,,,,,,,,,
"SC2004","SC",2004,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"SC",,,,,,,,,,
"SC2006","SC",2006,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"SC",,,,,,,,,,
"SC2008","SC",2008,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"SC",,,,,,,,,,
"SC2010","SC",2010,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,,,,,,,,,,,
"SC2012","SC",2012,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"SC",,,,,,,,,,
"SC2014","SC",2014,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"SC",,,,,,,,,,
"SC2016","SC",2016,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"SC",,,,,,,,,,
"SC2018","SC",2018,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"SC",,,,,,,,,,
"SD1996","SD",1996,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,,,,,,,,,,,
"SD1998","SD",1998,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"SD",,,,,,,,,,
"SD2000","SD",2000,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"SD",,,,,,,,,,
"SD2002","SD",2002,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"SD",,,,,,,,,,
"SD2004","SD",2004,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"SD",,,,,,,,,,
"SD2006","SD",2006,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"SD",,,,,,,,,,
"SD2008","SD",2008,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,,,,,,,,,,,
"SD2010","SD",2010,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"SD",,,,,,,,,,
"SD2012","SD",2012,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"SD",,,,,,,,,,
"SD2014","SD",2014,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"SD",,,,,,,,,,
"SD2016","SD",2016,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"SD",,,,,,,,,,
"SD2018","SD",2018,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"SD",,,,,,,,,,
"TN1996","TN",1996,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,,,,,,,,,,,
"TN1998","TN",1998,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"TN",,,,,,,,,,
"TN2000","TN",2000,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"TN",,,,,,,,,,
"TN2002","TN",2002,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"TN",,,,,,,,,,
"TN2004","TN",2004,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"TN",,,,,,,,,,
"TN2006","TN",2006,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"TN",,,,,,,,,,
"TN2008","TN",2008,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"TN",,,,,,,,,,
"TN2010","TN",2010,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,,,,,,,,,,,
"TN2012","TN",2012,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"TN",,,,,,,,,,
"TN2014","TN",2014,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"TN",,,,,,,,,,
"TN2016","TN",2016,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"TN",,,,,,,,,,
"TN2018","TN",2018,"NA","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"TN",,,,,,,,,,
"TX1996","TX",1996,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,,,,,,,,,,,
"TX1998","TX",1998,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"TX",,,,,,,,,,
"TX2000","TX",2000,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"TX",,,,,,,,,,
"TX2002","TX",2002,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"TX",,,,,,,,,,
"TX2004","TX",2004,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"TX",,,,,,,,,,
"TX2006","TX",2006,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"TX",,,,,,,,,,
"TX2008","TX",2008,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"TX",,,,,,,,,,
"TX2010","TX",2010,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"TX",,,,,,,,,,
"TX2012","TX",2012,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"TX",,,,,,,,,,
"TX2014","TX",2014,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"TX",,,,,,,,,,
"TX2016","TX",2016,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"TX",,,,,,,,,,
"TX2018","TX",2018,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"TX",,,,,,,,,,
"UT1996","UT",1996,"UCA $ 59-10-547; UCA $ 59-10-548","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","All qualified political parties may accept public funding.","Taxpayers may designate their deduction to a specific political party - 50% of those funds will be directed to the state party of their choosing, the other 50% will be directed to the respective county central committee.",,,,,,,,,,,"$1 deduction may be taken out of tax returns and directed to a qualified political party.",,
"UT1998","UT",1998,"UCA $ 59-10-547; UCA $ 59-10-548","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","All qualified political parties may accept public funding.","Taxpayers may designate their deduction to a specific political party - 50% of those funds will be directed to the state party of their choosing, the other 50% will be directed to the respective county central committee.",,,"UT",,,,,,,,"$2 deduction may be taken out of tax returns and directed to a qualified political party.",,
"UT2000","UT",2000,"UCA $ 59-10-547; UCA $ 59-10-548","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","All qualified political parties may accept public funding.","Taxpayers may designate their deduction to a specific political party - 50% of those funds will be directed to the state party of their choosing, the other 50% will be directed to the respective county central committee.",,,"UT",,,,,,,,"$2 deduction may be taken out of tax returns and directed to a qualified political party.",,
"UT2002","UT",2002,"UCA $ 59-10-547; UCA $ 59-10-548","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","All qualified political parties may accept public funding.","Taxpayers may designate their deduction to a specific political party - 50% of those funds will be directed to the state party of their choosing, the other 50% will be directed to the respective county central committee.",,,"UT",,,,,,,,"$2 deduction may be taken out of tax returns and directed to a qualified political party.",,
"UT2004","UT",2004,"UCA $ 59-10-547; UCA $ 59-10-548","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","All qualified political parties may accept public funding.","Taxpayers may designate their deduction to a specific political party - 50% of those funds will be directed to the state party of their choosing, the other 50% will be directed to the respective county central committee.",,,"UT",,,,,,,,"$2 deduction may be taken out of tax returns and directed to a qualified political party.",,
"UT2006","UT",2006,"UCA $ 59-10-547; UCA $ 59-10-548","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","All qualified political parties may accept public funding.","Taxpayers may designate their deduction to a specific political party - 50% of those funds will be directed to the state party of their choosing, the other 50% will be directed to the respective county central committee.",,,"UT",,,,,,,,"$2 deduction may be taken out of tax returns and directed to a qualified political party.",,
"UT2008","UT",2008,"UCA $ 59-10-1311","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","All qualified political parties may accept public funding.","Taxpayers may designate their deduction to a specific political party - 50% of those funds will be directed to the state party of their choosing, the other 50% will be directed to the respective county central committee.",,,"UT",,,,,,,,"$2 deduction may be taken out of tax returns and directed to a qualified political party.",,
"UT2010","UT",2010,"UCA $ 59-10-1311","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","All qualified political parties may accept public funding.","Taxpayers may designate their deduction to a specific political party - 50% of those funds will be directed to the state party of their choosing, the other 50% will be directed to the respective county central committee.",,,"UT",,,,,,,,"$2 deduction may be taken out of tax returns and directed to a qualified political party.",,
"UT2012","UT",2012,"UCA $ 59-10-1311","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","All qualified political parties may accept public funding.","Taxpayers may designate their deduction to a specific political party - 50% of those funds will be directed to the state party of their choosing, the other 50% will be directed to the respective county central committee.",,,"UT",,,,,,,,"$2 deduction may be taken out of tax returns and directed to a qualified political party.",,
"UT2014","UT",2014,"UCA $ 59-10-1311","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","All qualified political parties may accept public funding.","Taxpayers may designate their deduction to a specific political party - 50% of those funds will be directed to the state party of their choosing, the other 50% will be directed to the respective county central committee.",,,"UT",,,,,,,,"$2 deduction may be taken out of tax returns and directed to a qualified political party.",,
"UT2016","UT",2016,"UCA $ 59-10-1311","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","All qualified political parties may accept public funding.","Taxpayers may designate their deduction to a specific political party - 50% of those funds will be directed to the state party of their choosing, the other 50% will be directed to the respective county central committee.",,,"UT",,,,,,,,"$2 deduction may be taken out of tax returns and directed to a qualified political party.",,
"UT2018","UT",2018,"UCA $ 59-10-1311","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","All qualified political parties may accept public funding.","Taxpayers may designate their deduction to a specific political party - 50% of those funds will be directed to the state party of their choosing, the other 50% will be directed to the respective county central committee.",,,"UT",,,,,,,,"$2 deduction may be taken out of tax returns and directed to a qualified political party.",,
"VA1996","VA",1996,"Code of Virginia 24.2-101, 58.1-346","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","Any party that earned at least 10% in any statewide race in the prior 2 elections. Code of Virginia 58.1-346 (1996).","Grant","Unlimited",,"VA",,,,,,,,"Taxpayers check box deducting $25 from their state tax refund as donation to eligible state party of their choice, couples may donate $25 each. Tax liability not affected by contribution. Code of Virginia 58.1-346 (1996).",,
"VA1998","VA",1998,"Code of Virginia 24.2-101, 58.1-346","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","Any party that earned at least 10% in any statewide race in the prior 2 elections. Code of Virginia 58.1-346 (1996).","Grant","Unlimited",,"VA",,,,,,,,"Taxpayers check box deducting $25 from their state tax refund as donation to eligible state party of their choice, couples may donate $25 each. Tax liability not affected by contribution. Code of Virginia 58.1-346 (1996).",,
"VA2000","VA",2000,"Code of Virginia 24.2-101, 58.1-346","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","Any party that earned at least 10% in any statewide race in the prior 2 elections. Code of Virginia 58.1-346 (1996).","Grant","Unlimited",,"VA",,,,,,,,"Taxpayers check box deducting $25 from their state tax refund as donation to eligible state party of their choice, couples may donate $25 each ($50 total). See tax credits section for more. Code of Virginia 58.1-346 (1996).",,
"VA2002","VA",2002,"Code of Virginia 24.2-101, 58.1-346","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","Any party that earned at least 10% in any statewide race in the prior 2 elections. Code of Virginia 58.1-346 (1996).","Grant","Unlimited",,"VA",,,,,,,,"Taxpayers check box deducting $25 from their state tax refund as donation to eligible state party of their choice, couples may donate $25 each ($50 total). See tax credits section for more. Code of Virginia 58.1-346 (1996).",,
"VA2004","VA",2004,"Code of Virginia 24.2-101, 58.1-346","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","Any party that earned at least 10% in any statewide race in the prior 2 elections. Code of Virginia 58.1-346 (1996).","Grant","Unlimited",,"VA",,,,,,,,"Taxpayers check box deducting $25 from their state tax refund as donation to eligible state party of their choice, couples may donate $25 each ($50 total). See tax credits section for more. Code of Virginia 58.1-346 (1996).",,
"VA2006","VA",2006,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"VA",,,,,,,,,,
"VA2008","VA",2008,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"VA",,,,,,,,,,
"VA2010","VA",2010,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"VA",,,,,,,,,,
"VA2012","VA",2012,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"VA",,,,,,,,,,
"VA2014","VA",2014,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"VA",,,,,,,,,,
"VA2016","VA",2016,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"VA",,,,,,,,,,
"VA2018","VA",2018,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"VA",,,,,,,,,,
"VT1996","VT",1996,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,,,,,,,,,,,
"VT1998","VT",1998,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,"No",,,,,,,"No",,,,,,,,,,,,,,,
"VT2000","VT",2000,"1997, No. 64, § 2 ; 2000 17 V.S.A. § 2853-56","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","Partial Grant","	Public Financing: Fixed amount of public financing offered to gubernatorial (Primary: $75,000; General: $225,000) and lieutenant governor candidates who raise a threshold number of small contributions (at least $35,000 from at least 1,500 qualifying contributions of no more than $50) and agree not to raise any more private money. (Grant for primary reduced by amount of qualifying contributions raised); (Incumbents entitled to grant worth 85% of the total grant)","Candidates must raise at least $35,000 from at least 1,500 qualifying contributions of no more than $50","No","Because 17 V.S.A. section 2805a was struck down as unconstitutional by Landell et al v. Sorrell et al, Docket No. 2:00-cv-146, that section's  $300,000 for non-incumbent; $255,000 for incumbent candidates do not apply.  No spending limit.","No",,"No",,"$300,000","Yes","Yes","No",,,,,,,,,,,,,"32-5862c. Vermont campaign fund add-on.  Funds designated via tax retrun form.",,
"VT2002","VT",2002,"1997, No. 64, § 2 ; 2004 17 V.S.A. § 2853-56","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","Partial Grant","	Public Financing: Fixed amount of public financing offered to gubernatorial (Primary: $75,000; General: $225,000) and lieutenant governor candidates who raise a threshold number of small contributions (at least $35,000 from at least 1,500 qualifying contributions of no more than $50) and agree not to raise any more private money. (Grant for primary reduced by amount of qualifying contributions raised); (Incumbents entitled to grant worth 85% of the total grant)","Candidates must raise at least $35,000 from at least 1,500 qualifying contributions of no more than $50","No",,"No",,"No",,"$300,000","Yes","Yes","No",,,,,"VT",,,,,,,,"32-5862c. Vermont campaign fund add-on.  Funds designated via tax retrun form.",,
"VT2004","VT",2004,"1997, No. 64, § 2 ; 2004 17 V.S.A. § 2853-56","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","Partial Grant","	Public Financing: Fixed amount of public financing offered to gubernatorial (Primary: $75,000; General: $225,000) and lieutenant governor candidates who raise a threshold number of small contributions (at least $35,000 from at least 1,500 qualifying contributions of no more than $50) and agree not to raise any more private money. (Grant for primary reduced by amount of qualifying contributions raised); (Incumbents entitled to grant worth 85% of the total grant)","Candidates must raise at least $35,000 from at least 1,500 qualifying contributions of no more than $50","No",,"No",,"No",,"$300,000","Yes","Yes","No",,,,,"VT",,,,,,,,"32-5862c. Vermont campaign fund add-on.  Funds designated via tax retrun form.",,
"VT2006","VT",2006,"1997, No. 64, § 2; 2005, No. 62, § 12; 17 V.S.A. § 2853-56","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","Partial Grant","	Public Financing: Fixed amount of public financing offered to gubernatorial (Primary: $75,000; General: $225,000) and lieutenant governor candidates who raise a threshold number of small contributions (at least $35,000 from at least 1,500 qualifying contributions of no more than $50) and agree not to raise any more private money. (Grant for primary reduced by amount of qualifying contributions raised); (Incumbents entitled to grant worth 85% of the total grant)","Candidates must raise at least $35,000 from at least 1,500 qualifying contributions of no more than $50","No",,"No",,"No",,"$300,000","Yes","Yes","No",,,,,"VT",,,,,,,,"32-5862c. Vermont campaign fund add-on.  Funds designated via tax retrun form.",,
"WI1998","WI",1998,"11.31(1); 11.50(1)(a),(2)(b),(9);","Yes","Partial Grant",,"Candidate must receive at least 6% of the primary vote and receive individual contributions of $100 or less aggregating more than 10% of disbursement limitation.","Yes","$ 17,250","Yes","Aggregate contributions from committees are limited to a percentage of the expenditure limit. See 11.26 (9); Candidate contributions are limited, see 11.26(10)","No",,"$7,762.50 (45% of spending limit)","No","No","Yes","Partial Grant",,"Candidate must receive at least 6% of the vote in the primary election and receive contributions of $100 or less aggregating more than 10% of disbursement limitation.","Yes","$ 34,500","Yes","Aggregate contributions from committees are limited to a percentage of the expenditure limit. See 11.26 (9); Candidate contributions are limited, see 11.26(10)","No",,"$15,525.00 (45% of spending limit)","No","No","Yes","Partial Grant",,"Candidate must receive at least 6% of the vote in the primary election and receive contributions of $100 or less aggregating more than 10% of disbursement limitation.","Yes","$ 1,078,200","Yes","Aggregate contributions from committees are limited to a percentage of the expenditure limit. See 11.26 (9); Candidate contributions are limited, see 11.26(10)","No",,"$485,190.00 (45% of spending limit)","No","No","No",,,,,"WI",,,,,,,,"71.10(3) - Campaign fund. (a) Every individual filing an income tax return who has a tax liability or is entitled to a tax refund may designate $ 1 for the Wisconsin election campaign fund for the use of eligible candidates under s. 11.50. If the individuals filing a joint return have a tax liability or are entitled to a tax refund, each individual may make a designation of $ 1 under this subsection.",,
