Identifier,State,Year,PublicFunding_Citation,PublicFunding_H,PublicFunding_H_type,PublicFunding_H_explain,Public Funding_H_Qualifying,PublicFunding_H_SpendLimit,PublicFunding_H_SpendLimit_Amount,PublicFunding_H_OtherConditions,PublicFunding_H_OtherConditions_Explained,PublicFunding_H_Trigger,PublicFunding_H_TriggerExplained,PublicFunding_H_Max,PublicFunding_H_Solicitation-by-Cand_Party,PublicFunding_H_Solicitation-by-Cand_Non-Party,PublicFunding_S,PublicFunding_S_type,PublicFunding_S_explain,Public Funding_S_Qualifying,PublicFunding_S_SpendLimit,PublicFunding_S_SpendLimit_Amount,PublicFunding_S_OtherConditions,PublicFunding_S_OtherConditions_Explained,PublicFunding_S_Trigger,PublicFunding_S_TriggerExplained,PublicFunding_S_Max,PublicFunding_S_Solicitation-by-Cand_Party,PublicFunding_S_Solicitation-by-Cand_Non-Party,PublicFunding_G,PublicFunding_G_type,PublicFunding_G_explain,Public Funding_G_Qualifying,PublicFunding_G_SpendLimit,PublicFunding_G_SpendLimit_Amount,PublicFunding_G_OtherConditions,PublicFunding_G_OtherConditions_Explained,PublicFunding_G_Trigger,PublicFunding_G_TriggerExplained,PublicFunding_G_Max,PublicFunding_G_Solicitation-by-Cand_Party,PublicFunding_G_Solicitation-by-Cand_Non-Party,PublicFunding_J,PublicFunding_J_type,PublicFunding_J_explain,Public Funding_J_Qualifying,PublicFunding_J_SpendLimit,PublicFunding_J_SpendLimit_Amount,PublicFunding_J_OtherConditions,PublicFunding_J_OtherConditions_Explained,PublicFunding_J_Trigger,PublicFunding_J_TriggerExplained,PublicFunding_J_Max,PublicFunding_J_Solicitation-by-Cand_Party,PublicFunding_J_Solicitation-by-Cand_Non-Party,PublicFunding_P,PublicFunding_P_Eligibility,PublicFunding_P_Formula,PublicFunding_P_TwoYrMax,SurchargePF,TaxCheckoffPF,DonatedPF,FilingRegFeesPF,FinesPF,GrantPF,UnexpendedPF,OtherPF,OtherPFExplain,SourcesofFunds,SpendingLimits_Other,SpendingLimits_Other_Explained
"CT2008","CT",2008,"CGS 9-702, 9-704, 9-705, 9-710, 9-712, 3-69a, 9-750;P.A. 05-05, P.A. 06-137, P.A. 08-2","Yes","Partial Grant","Once the qualifying threshold is reached, candidates for state representative will be awarded a grant of $10,000 for the primary and $25,000 for the general if they have competitive opposition, 60% of that amount if they have limited opposition, and 30% if they are unpposed. Candidates in party-dominant districts (districts in which the candidate's party has an enrollment margin of at least 20%) will receive $25,000 for the primary and the above general election amounts.","Must raise $5,000 in qualifying contributions of between $5 and $100 from at least 150 residents of municipalities included, in whole or in part, in the district. Contributions from lobbyists, state contractors or their families are not qualifying.","Yes","105000","No",,"Yes","As an opponent raises or spends funds exceeding 100%, 125%, 150%, and 175% of the applicable expenditure limit, participating candidates will receive 25% of the applicable grant amount.","100000","No","No","Yes","Partial Grant","Once the qualifying threshold is reached, candidates for state representative will be awarded a grant of $35,000 for the primary and $85,000 for the general if they have competitive opposition, 60% of this amount if they have limited opposition, and 30% if they are unpposed. Candidates in party-dominant districts (districts in which the candidate's party has an enrollment margin of at least 20%) will receive $75,000 for the primary and the above general election amounts.","Must raise $15,000 in qualifying contributions of between $5 and $100 from at least 300 residents of municipalities included, in whole or in part, in the district. Contributions from lobbyists, state contractors or their families are not qualifying.","Yes","335,000","No",,"Yes","As an opponent raises or spends funds exceeding 100%, 125%, 150%, and 175% of the applicable expenditure limit, participating candidates will receive 25% of the applicable grant amount.","320,000","No","No","Inoperative whole cycle",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,"The Citizens' Election Fund is funded through the sale of abandoned property that has reverted to the state. If the amount in the fund is not enough to fulfill all grants, then tax revenue will be used to cover the difference.",,
"CT2004","CT",2004,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"CT",,,,,,,,,,
"CT2002","CT",2002,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"CT",,,,,,,,,,
"CT2000","CT",2000,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"CT",,,,,,,,,,
"CT1998","CT",1998,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"CT",,,,,,,,,,
"CT1996","CT",1996,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,,,
"CT2006","CT",2006,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"CT",,,,,,,,,,
"CT2016","CT",2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MI2012","MI",2012," Mich. Comp. Laws § 169.261 - § 169.271 ; 1976 Mich. Pub. Acts 1268","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"Yes","Mixed","Primary (matching): 2:1 for first $100. 
General (lump sum or matching): Major party nominee: not more than $1,125,000; Minor party nominees: not more than $1,125,000 reduced in proportion to their share of the vote; alternatively, candidates may choose to receive 1:1 matching up to $750,000
Donors must be in-state.","Candidates must raise $75,000 in qualifying contributions","Yes","$4 million","Yes","Additional reporting requirements for qualified contributotions: Must record the full name and address of each
Candidate must establish a single candidate committee and file a statement of organization indicating the intent to seek qualifying contributions or make qualifying expenditures
Candidate must keep funds received through this program in a separate account","Yes","Candidates for governor not applying for funds from the state fund and that accept from the candidate and the candidate's immediate family contributions that total for an election cycle more than $340,000.00 shall notify the secretary of state in writing within 48 hours after receipt of this amount. The secretary of state shall send notice to all candidates who are either seeking the same nomination, in the case of a primary election, or election to that same office, in the case of a general election, informing those candidate committees that the expenditure limits are waived for the remainder of that election for those committees receiving state funds, but not for the purpose of determining the amount of public funds available to a candidate.","$2,115,000","No","No",,,,,,,,,,,,,,"No",,,,,"MI",,,,,,,,,,
"MI1996","MI",1996," Mich. Comp. Laws § 169.261 - § 169.271 ; 1976 Mich. Pub. Acts 1268","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"Yes","Mixed","Primary (matching): 2:1 for first $100. 
General (lump sum or matching): Major party nominee: not more than $1,125,000; Minor party nominees: not more than $1,125,000 reduced in proportion to their share of the vote; alternatively, candidates may choose to receive 1:1 matching up to $750,000
Donors must be in-state.","Candidates must raise $75,000 in qualifying contributions","Yes","$4 million","Yes","Additional reporting requirements for qualified contributotions: Must record the full name and address of each
Candidate must establish a single candidate committee and file a statement of organization indicating the intent to seek qualifying contributions or make qualifying expenditures
Candidate must keep funds received through this program in a separate account","Yes","Candidates for governor not applying for funds from the state fund and that accept from the candidate and the candidate's immediate family contributions that total for an election cycle more than $340,000.00 shall notify the secretary of state in writing within 48 hours after receipt of this amount. The secretary of state shall send notice to all candidates who are either seeking the same nomination, in the case of a primary election, or election to that same office, in the case of a general election, informing those candidate committees that the expenditure limits are waived for the remainder of that election for those committees receiving state funds, but not for the purpose of determining the amount of public funds available to a candidate.","$2,115,000","No","No",,,,,,,,,,,,,,"No",,,,,,,,,,,,,"Public financing is funded through a tax checkoff that does not increase the individual's tax burden. The amount is $3.00 for an individual and up to $6.00 for joint returns.",,
"MI1998","MI",1998," Mich. Comp. Laws § 169.261 - § 169.271 ; 1976 Mich. Pub. Acts 1268","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"Yes","Mixed","Primary (matching): 2:1 for first $100. 
General (lump sum or matching): Major party nominee: not more than $1,125,000; Minor party nominees: not more than $1,125,000 reduced in proportion to their share of the vote; alternatively, candidates may choose to receive 1:1 matching up to $750,000
Donors must be in-state.","Candidates must raise $75,000 in qualifying contributions","Yes","$4 million","Yes","Additional reporting requirements for qualified contributotions: Must record the full name and address of each
Candidate must establish a single candidate committee and file a statement of organization indicating the intent to seek qualifying contributions or make qualifying expenditures
Candidate must keep funds received through this program in a separate account","Yes","Candidates for governor not applying for funds from the state fund and that accept from the candidate and the candidate's immediate family contributions that total for an election cycle more than $340,000.00 shall notify the secretary of state in writing within 48 hours after receipt of this amount. The secretary of state shall send notice to all candidates who are either seeking the same nomination, in the case of a primary election, or election to that same office, in the case of a general election, informing those candidate committees that the expenditure limits are waived for the remainder of that election for those committees receiving state funds, but not for the purpose of determining the amount of public funds available to a candidate.","$2,115,000","No","No",,,,,,,,,,,,,,"No",,,,,"MI",,,,,,,,,,
"MI2014","MI",2014," Mich. Comp. Laws § 169.261 - § 169.271 ; 1976 Mich. Pub. Acts 1268","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"Yes","Mixed","Primary (matching): 2:1 for first $100. 
General (lump sum or matching): Major party nominee: not more than $1,125,000; Minor party nominees: not more than $1,125,000 reduced in proportion to their share of the vote; alternatively, candidates may choose to receive 1:1 matching up to $750,000
Donors must be in-state.","Candidates must raise $75,000 in qualifying contributions","Yes","$4 million","Yes","Additional reporting requirements for qualified contributotions: Must record the full name and address of each
Candidate must establish a single candidate committee and file a statement of organization indicating the intent to seek qualifying contributions or make qualifying expenditures
Candidate must keep funds received through this program in a separate account","Yes","Candidates for governor not applying for funds from the state fund and that accept from the candidate and the candidate's immediate family contributions that total for an election cycle more than $340,000.00 shall notify the secretary of state in writing within 48 hours after receipt of this amount. The secretary of state shall send notice to all candidates who are either seeking the same nomination, in the case of a primary election, or election to that same office, in the case of a general election, informing those candidate committees that the expenditure limits are waived for the remainder of that election for those committees receiving state funds, but not for the purpose of determining the amount of public funds available to a candidate.","$2,115,000","No","No",,,,,,,,,,,,,,"No",,,,,"MI",,,,,,,,,,
"MI2018","MI",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MI2010","MI",2010," Mich. Comp. Laws § 169.261 - § 169.271 ; 1976 Mich. Pub. Acts 1268","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"Yes","Mixed","Primary (matching): 2:1 for first $100. 
General (lump sum or matching): Major party nominee: not more than $1,125,000; Minor party nominees: not more than $1,125,000 reduced in proportion to their share of the vote; alternatively, candidates may choose to receive 1:1 matching up to $750,000
Donors must be in-state.","Candidates must raise $75,000 in qualifying contributions","Yes","$4 million","Yes","Additional reporting requirements for qualified contributotions: Must record the full name and address of each
Candidate must establish a single candidate committee and file a statement of organization indicating the intent to seek qualifying contributions or make qualifying expenditures
Candidate must keep funds received through this program in a separate account","Yes","Candidates for governor not applying for funds from the state fund and that accept from the candidate and the candidate's immediate family contributions that total for an election cycle more than $340,000.00 shall notify the secretary of state in writing within 48 hours after receipt of this amount. The secretary of state shall send notice to all candidates who are either seeking the same nomination, in the case of a primary election, or election to that same office, in the case of a general election, informing those candidate committees that the expenditure limits are waived for the remainder of that election for those committees receiving state funds, but not for the purpose of determining the amount of public funds available to a candidate.","$2,115,000","No","No",,,,,,,,,,,,,,"No",,,,,"MI",,,,,,,,,,
"MI2008","MI",2008," Mich. Comp. Laws § 169.261 - § 169.271 ; 1976 Mich. Pub. Acts 1268","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"Yes","Mixed","Primary (matching): 2:1 for first $100. 
General (lump sum or matching): Major party nominee: not more than $1,125,000; Minor party nominees: not more than $1,125,000 reduced in proportion to their share of the vote; alternatively, candidates may choose to receive 1:1 matching up to $750,000
Donors must be in-state.","Candidates must raise $75,000 in qualifying contributions","Yes","$4 million","Yes","Additional reporting requirements for qualified contributotions: Must record the full name and address of each
Candidate must establish a single candidate committee and file a statement of organization indicating the intent to seek qualifying contributions or make qualifying expenditures
Candidate must keep funds received through this program in a separate account","Yes","Candidates for governor not applying for funds from the state fund and that accept from the candidate and the candidate's immediate family contributions that total for an election cycle more than $340,000.00 shall notify the secretary of state in writing within 48 hours after receipt of this amount. The secretary of state shall send notice to all candidates who are either seeking the same nomination, in the case of a primary election, or election to that same office, in the case of a general election, informing those candidate committees that the expenditure limits are waived for the remainder of that election for those committees receiving state funds, but not for the purpose of determining the amount of public funds available to a candidate.","$2,115,000","No","No",,,,,,,,,,,,,,"No",,,,,"MI",,,,,,,,,,
"MI2006","MI",2006," Mich. Comp. Laws § 169.261 - § 169.271 ; 1976 Mich. Pub. Acts 1268","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"Yes","Mixed","Primary (matching): 2:1 for first $100. 
General (lump sum or matching): Major party nominee: not more than $1,125,000; Minor party nominees: not more than $1,125,000 reduced in proportion to their share of the vote; alternatively, candidates may choose to receive 1:1 matching up to $750,000
Donors must be in-state.","Candidates must raise $75,000 in qualifying contributions","Yes","$4 million","Yes","Additional reporting requirements for qualified contributotions: Must record the full name and address of each
Candidate must establish a single candidate committee and file a statement of organization indicating the intent to seek qualifying contributions or make qualifying expenditures
Candidate must keep funds received through this program in a separate account","Yes","Candidates for governor not applying for funds from the state fund and that accept from the candidate and the candidate's immediate family contributions that total for an election cycle more than $340,000.00 shall notify the secretary of state in writing within 48 hours after receipt of this amount. The secretary of state shall send notice to all candidates who are either seeking the same nomination, in the case of a primary election, or election to that same office, in the case of a general election, informing those candidate committees that the expenditure limits are waived for the remainder of that election for those committees receiving state funds, but not for the purpose of determining the amount of public funds available to a candidate.","$2,115,000","No","No",,,,,,,,,,,,,,"No",,,,,"MI",,,,,,,,,,
"MI2004","MI",2004," Mich. Comp. Laws § 169.261 - § 169.271 ; 1976 Mich. Pub. Acts 1268","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"Yes","Mixed","Primary (matching): 2:1 for first $100. 
General (lump sum or matching): Major party nominee: not more than $1,125,000; Minor party nominees: not more than $1,125,000 reduced in proportion to their share of the vote; alternatively, candidates may choose to receive 1:1 matching up to $750,000
Donors must be in-state.","Candidates must raise $75,000 in qualifying contributions","Yes","$4 million","Yes","Additional reporting requirements for qualified contributotions: Must record the full name and address of each
Candidate must establish a single candidate committee and file a statement of organization indicating the intent to seek qualifying contributions or make qualifying expenditures
Candidate must keep funds received through this program in a separate account","Yes","Candidates for governor not applying for funds from the state fund and that accept from the candidate and the candidate's immediate family contributions that total for an election cycle more than $340,000.00 shall notify the secretary of state in writing within 48 hours after receipt of this amount. The secretary of state shall send notice to all candidates who are either seeking the same nomination, in the case of a primary election, or election to that same office, in the case of a general election, informing those candidate committees that the expenditure limits are waived for the remainder of that election for those committees receiving state funds, but not for the purpose of determining the amount of public funds available to a candidate.","$2,115,000","No","No",,,,,,,,,,,,,,"No",,,,,"MI",,,,,,,,,,
"MI2002","MI",2002," Mich. Comp. Laws § 169.261 - § 169.271 ; 1976 Mich. Pub. Acts 1268","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"Yes","Mixed","Primary (matching): 2:1 for first $100. 
General (lump sum or matching): Major party nominee: not more than $1,125,000; Minor party nominees: not more than $1,125,000 reduced in proportion to their share of the vote; alternatively, candidates may choose to receive 1:1 matching up to $750,000
Donors must be in-state.","Candidates must raise $75,000 in qualifying contributions","Yes","$4 million","Yes","Additional reporting requirements for qualified contributotions: Must record the full name and address of each
Candidate must establish a single candidate committee and file a statement of organization indicating the intent to seek qualifying contributions or make qualifying expenditures
Candidate must keep funds received through this program in a separate account","Yes","Candidates for governor not applying for funds from the state fund and that accept from the candidate and the candidate's immediate family contributions that total for an election cycle more than $340,000.00 shall notify the secretary of state in writing within 48 hours after receipt of this amount. The secretary of state shall send notice to all candidates who are either seeking the same nomination, in the case of a primary election, or election to that same office, in the case of a general election, informing those candidate committees that the expenditure limits are waived for the remainder of that election for those committees receiving state funds, but not for the purpose of determining the amount of public funds available to a candidate.","$2,115,000","No","No",,,,,,,,,,,,,,"No",,,,,"MI",,,,,,,,,,
"MI2000","MI",2000," Mich. Comp. Laws § 169.261 - § 169.271 ; 1976 Mich. Pub. Acts 1268","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"Yes","Mixed","Primary (matching): 2:1 for first $100. 
General (lump sum or matching): Major party nominee: not more than $1,125,000; Minor party nominees: not more than $1,125,000 reduced in proportion to their share of the vote; alternatively, candidates may choose to receive 1:1 matching up to $750,000
Donors must be in-state.","Candidates must raise $75,000 in qualifying contributions","Yes","$4 million","Yes","Additional reporting requirements for qualified contributotions: Must record the full name and address of each
Candidate must establish a single candidate committee and file a statement of organization indicating the intent to seek qualifying contributions or make qualifying expenditures
Candidate must keep funds received through this program in a separate account","Yes","Candidates for governor not applying for funds from the state fund and that accept from the candidate and the candidate's immediate family contributions that total for an election cycle more than $340,000.00 shall notify the secretary of state in writing within 48 hours after receipt of this amount. The secretary of state shall send notice to all candidates who are either seeking the same nomination, in the case of a primary election, or election to that same office, in the case of a general election, informing those candidate committees that the expenditure limits are waived for the remainder of that election for those committees receiving state funds, but not for the purpose of determining the amount of public funds available to a candidate.","$2,115,000","No","No",,,,,,,,,,,,,,"No",,,,,"MI",,,,,,,,,,
"MI2016","MI",2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CO2010","CO",2010,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"CO",,,,,,,,,,
"CO2016","CO",2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CO1996","CO",1996,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,,,
"CO2012","CO",2012,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"CO",,,,,,,,,,
"CO2008","CO",2008,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"CO",,,,,,,,,,
"CO2006","CO",2006,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"CO",,,,,,,,,,
"CO2004","CO",2004,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"CO",,,,,,,,,,
"CO2002","CO",2002,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"CO",,,,,,,,,,
"MN2006","MN",2006,"Session Law: MN Laws 1974, c. 470, § 31; Current Code: MN ST §10A.31","Yes","Other","From (each) the General fund and the Party fund: House candidates receive 35% in election year in which the senate serves 2 year terms and receive 46 2/3% in calendar year in which senate serves 4 year terms.","For any funding: candidate must raise (counting only the first $50 from each contributor) $1,500 in the calendar year; For funding from party account: Must win primary; For funding from general account: must receive 10% of the votes cast.","Yes","30100","Yes","A candidate who receives a public subsidy may not contribute to his or her own campaign more than 10 times the contribution limit for that calendar year.","Yes","The law provides that additional funds may be available to match independent expenditures in an amount equal to on half the independent expenditures (NOTE: This was ruled unconstitutional: Day v. Holohan 34 F.3d 1356 (8th Cir. 1994)).","Cannot exceed 50% of the expenditure limit","No","No","Yes","Other","From (each) the General fund and the Party fund: Senate candidates receive 35% in election year in which the senate serves 2 year terms and receive 23 2/3% in calendar year in which senate serves 4 year terms.","For any funding: candidate must raise (counting only the first $50 from each contributor) $3,500 in the calendar year ; For funding from party account: Must win primary; For funding from general account: must receive 10% of the votes cast.","Yes","59900","Yes","A candidate who receives a public subsidy may not contribute to his or her own campaign more than 10 times the contribution limit for that calendar year.","Yes","The law provides that additional funds may be available to match independent expenditures in an amount equal to on half the independent expenditures (NOTE: This was ruled unconstitutional: Day v. Holohan 34 F.3d 1356 (8th Cir. 1994))","Cannot exceed 50% of the expenditure limit","No","No","Yes","Other","From the General account: Gubernatorial candidates receive 21% of the funds;  From the Party account: Gubernatorial candidates receive 14% of the funds.","For any funding: candidate must raise (counting only the first $50 from each contributor) $35,000 in the calendar year ; For funding from party account: Must win primary; For funding from general account: must receive 5% of the votes cast.","Yes","2393800","Yes","A candidate who receives a public subsidy may not contribute to his or her own campaign more than 10 times the contribution limit for that calendar year.","Yes","The law provides that additional funds may be available to match independent expenditures in an amount equal to on half the independent expenditures (NOTE: This was ruled unconstitutional: Day v. Holohan 34 F.3d 1356 (8th Cir. 1994))","Cannot exceed 50% of the expenditure limit","No","No",,,,,,,,,,,,,,"Yes","Candidate must receive at least 10% of votes cast in order for party to be eligible; party may also receive 2000 signatures to be eligible","Party Committee receives 10% of funds in the party account","No maximum",,"MN",,,,,,,,"Checkoff from income tax and renter and homeowner property tax refund return. Each tax payer may checkoff $5; if joint return, each individual may checkoff $5.",,
"MN2008","MN",2008,"Session Law: MN Laws 1974, c. 470, § 31; Current Code: MN ST §10A.31","Yes","Other","From (each) the General fund and the Party fund: House candidates receive 35% in election year in which the senate serves 2 year terms and receive 46 2/3% in calendar year in which senate serves 4 year terms.","For any funding: candidate must raise (counting only the first $50 from each contributor) $1,500 in the calendar year; For funding from party account: Must win primary; For funding from general account: must receive 10% of the votes cast.","Yes","31400","Yes","A candidate who receives a public subsidy may not contribute to his or her own campaign more than 10 times the contribution limit for that calendar year.","Yes","The law provides that additional funds may be available to match independent expenditures in an amount equal to on half the independent expenditures (NOTE: This was ruled unconstitutional: Day v. Holohan 34 F.3d 1356 (8th Cir. 1994)).","Cannot exceed 50% of the expenditure limit","No","No","Yes","Other","From (each) the General fund and the Party fund: Senate candidates receive 35% in election year in which the senate serves 2 year terms and receive 23 2/3% in calendar year in which senate serves 4 year terms.","For any funding: candidate must raise (counting only the first $50 from each contributor) $3,500 in the calendar year ; For funding from party account: Must win primary; For funding from general account: must receive 10% of the votes cast.","Yes","59900","Yes","A candidate who receives a public subsidy may not contribute to his or her own campaign more than 10 times the contribution limit for that calendar year.","Yes","The law provides that additional funds may be available to match independent expenditures in an amount equal to on half the independent expenditures (NOTE: This was ruled unconstitutional: Day v. Holohan 34 F.3d 1356 (8th Cir. 1994))","Cannot exceed 50% of the expenditure limit","No","No","Yes","Other","From the General account: Gubernatorial candidates receive 21% of the funds;  From the Party account: Gubernatorial candidates receive 14% of the funds.","For any funding: candidate must raise (counting only the first $50 from each contributor) $35,000 in the calendar year ; For funding from party account: Must win primary; For funding from general account: must receive 5% of the votes cast.","Yes","2393800","Yes","A candidate who receives a public subsidy may not contribute to his or her own campaign more than 10 times the contribution limit for that calendar year.","Yes","The law provides that additional funds may be available to match independent expenditures in an amount equal to on half the independent expenditures (NOTE: This was ruled unconstitutional: Day v. Holohan 34 F.3d 1356 (8th Cir. 1994))","Cannot exceed 50% of the expenditure limit","No","No",,,,,,,,,,,,,,"Yes","Candidate must receive at least 10% of votes cast in order for party to be eligible; party may also receive 2000 signatures to be eligible","Party Committee receives 10% of funds in the party account","No maximum",,"MN",,,,,,,,"Checkoff from income tax and renter and homeowner property tax refund return. Each tax payer may checkoff $5; if joint return, each individual may checkoff $5.",,
"CO2000","CO",2000,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"CO",,,,,,,,,,
"CO1998","CO",1998,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"CO",,,,,,,,,,
"CO2014","CO",2014,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"CO",,,,,,,,,,
"FL2010","FL",2010,"Fla. Stat. §§ 106.33, 106.34, 106.35 (2010)","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"Yes","Matching Funds",,"Must raise $150,000","Yes","General election limit = $2 for each Florida registered voter and primary election limit = 60% of general election limit","Yes","Limit loans or contributions from the candidate's personal funds to $25,000 and contributions from national, state, and county executive committees of a political party to $250,000 in the aggregate, which loans or contributions shall not qualify for meeting the threshold amounts in subsection (2).","No",,"$250","No","No",,,,,,,,,,,,,,"No",,,,,"FL",,,,,,,,,,
"FL1996","FL",1996,"Fla. Stat. §§ 106.33, 106.34, 106.35 (1996)","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"Yes","Matching Funds",,"Must raise $150,000","Yes","$8 million (3 million + 5 million)","Yes","Limit loans or contributions from the candidate's personal funds to $25,000 and contributions from national, state, and county executive committees of a political party to $25,000 in the aggregate, which loans or contributions shall not qualify for meeting the threshold amounts in subsection (2).","No",,"$250","No","No",,,,,,,,,,,,,,"No",,,,,,,,,,,,,,,
"FL1998","FL",1998,"Fla. Stat. §§ 106.33, 106.34, 106.35 (1998)","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"Yes","Matching Funds",,"Must raise $150,000","Yes","$8 million (3 million + 5 million)","Yes","Limit loans or contributions from the candidate's personal funds to $25,000 and contributions from national, state, and county executive committees of a political party to $25,000 in the aggregate, which loans or contributions shall not qualify for meeting the threshold amounts in subsection (2).","No",,"$250","No","No",,,,,,,,,,,,,,"No",,,,,"FL",,,,,,,,,,
"FL2000","FL",2000,"Fla. Stat. §§ 106.33, 106.34, 106.35 (2000)","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"Yes","Matching Funds",,"Must raise $150,000","Yes","$8 million (3 million + 5 million)","Yes","Limit loans or contributions from the candidate's personal funds to $25,000 and contributions from national, state, and county executive committees of a political party to $25,000 in the aggregate, which loans or contributions shall not qualify for meeting the threshold amounts in subsection (2).","No",,"$250","No","No",,,,,,,,,,,,,,"No",,,,,"FL",,,,,,,,,,
"FL2002","FL",2002,"Fla. Stat. §§ 106.33, 106.34, 106.35 (2002)","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"Yes","Matching Funds",,"Must raise $150,000","Yes","$8 million (3 million + 5 million)","Yes","Limit loans or contributions from the candidate's personal funds to $25,000 and contributions from national, state, and county executive committees of a political party to $25,000 in the aggregate, which loans or contributions shall not qualify for meeting the threshold amounts in subsection (2).","No",,"$250","No","No",,,,,,,,,,,,,,"No",,,,,"FL",,,,,,,,,,
"FL2004","FL",2004,"Fla. Stat. §§ 106.33, 106.34, 106.35 (2004)","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"Yes","Matching Funds",,"Must raise $150,000","Yes","$8 million (3 million + 5 million)","Yes","Limit loans or contributions from the candidate's personal funds to $25,000 and contributions from national, state, and county executive committees of a political party to $25,000 in the aggregate, which loans or contributions shall not qualify for meeting the threshold amounts in subsection (2).","No",,"$250","No","No",,,,,,,,,,,,,,"No",,,,,"FL",,,,,,,,,,
"FL2012","FL",2012,"Fla. Stat. §§ 106.33, 106.34, 106.35 (2012)","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"Yes","Matching Funds",,"Must raise $150,000","Yes","General election limit = $2 for each Florida registered voter and primary election limit = 60% of general election limit","Yes","Limit loans or contributions from the candidate's personal funds to $25,000 and contributions from national, state, and county executive committees of a political party to $250,000 in the aggregate, which loans or contributions shall not qualify for meeting the threshold amounts in subsection (2).","No",,"$250","No","No",,,,,,,,,,,,,,"No",,,,,"FL",,,,,,,,,,
