Identifier,State,Year,ContribLimit_Citation,COLA,COLA_Which,COLA_BaseYear,Adjustment_Other,Adjustment_Other_Explained,Adjustment_Other_BaseYear,Primary_General_Difference,Primary_General_Difference_Explained,IndividualToCand,IndividualToCandLimit_H,IndividualToCandLimit_H_Period,IndividualToCandLimit_H_Max,IndividualToCandLimit_H_Explained,IndividualToCandLimit_S,IndividualToCandLimit_S_Period,IndividualToCandLimit_S_Max,IndividualToCandLimit_S_Explained,IndividualToCandLimit_G,IndividualToCandLimit_G_Period,IndividualToCandLimit_G_Max,IndividualToCandLimit_G_Explained,IndividualToCandLimit_J,IndividualToCandLimit_J_Period,IndividualToCandLimit_J_Max,IndividualToCandLimit_J_Explained,PACToCand,PACToCandLimit_H,PACToCandLimit_H_Period,PACToCandLimit_H_Max,PACToCandLimit_H_Explained,PACToCandLimit_S,PACToCandLimit_S_Period,PACToCandLimit_S_Max,PACToCandLimit_S_Explained,PACToCandLimit_G,PACToCandLimit_G_Period,PACToCandLimit_G_Max,PACToCandLimit_G_Explained,PACToCandLimit_J,PACToCandLimit_J_Period,PACToCandLimit_J_Max,PACToCandLimit_J_Explained,SpecialPACToCand,SpecialPACToCandLimit_H,SpecialPACToCandLimit_H_Period,SpecialPACToCandLimit_H_Max,SpecialPACToCandLimit_H_Explained,SpecialPACToCandLimit_S,SpecialPACToCandLimit_S_Period,SpecialPACToCandLimit_S_Max,SpecialPACToCandLimit_S_Explained,SpecialPACToCandLimit_G,SpecialPACToCandLimit_G_Period,SpecialPACToCandLimit_G_Max,SpecialPACToCandLimit_G_Explained,SpecialPACToCandLimit_J,SpecialPACToCandLimit_J_Period,SpecialPACToCandLimit_J_Max,SpecialPACToCandLimit_J_Explained,CorpToCand,CorpToCandLimit_H,CorpToCandLimit_H_Period,CorpToCandLimit_H_Max,CorpToCandLimit_H_Explained,CorpToCandLimit_S,CorpToCandLimit_S_Period,CorpToCandLimit_S_Max,CorpToCandLimit_S_Explained,CorpToCandLimit_G,CorpToCandLimit_G_Period,CorpToCandLimit_G_Max,CorpToCandLimit_G_Explained,LaborToCand,LaborToCandLimit_H,LaborToCandLimit_H_Period,LaborToCandLimit_H_Max,LaborToCandLimit_H_Explained,LaborToCandLimit_S,LaborToCandLimit_S_Period,LaborToCandLimit_S_Max,LaborToCandLimit_S_Explained,LaborToCandLimit_G,LaborToCandLimit_G_Period,LaborToCandLimit_G_Max,LaborToCandLimit_G_Explained,StatePToCand,StatePToCandLimit_H,StatePToCandLimit_H_Period,StatePToCandLimit_H_Max,StatePToCandLimit_H_Explained,StatePToCandLimit_S,StatePToCandLimit_S_Period,StatePToCandLimit_S_Max,StatePToCandLimit_S_Explained,StatePToCandLimit_G,StatePToCandLimit_G_Period,StatePToCandLimit_G_Max,StatePToCandLimit_G_Explained,LocalPToCand,LocalPToCandLimit_H,LocalPToCandLimit_H_Period,LocalPToCandLimit_H_Max,LocalPToCandLimit_H_Explained,LocalPToCandLimit_S,LocalPToCandLimit_S_Period,LocalPToCandLimit_S_Max,LocalPToCandLimit_S_Explained,LocalPToCandLimit_G,LocalPToCandLimit_G_Period,LocalPToCandLimit_G_Max,LocalPToCandLimit_G_Explained,OtherCandToCand,OtherToCandLimit_H,OtherToCandLimit_H_Period,OtherToCandLimit_H_Max,OtherToCandLimit_H_Explained,OtherToCandLimit_S,OtherToCandLimit_S_Period,OtherToCandLimit_S_Max,OtherToCandLimit_S_Explained,OtherToCandLimit_G,OtherToCandLimit_G_Period,OtherToCandLimit_G_Max,OtherToCandLimit_G_Explained,AggCandLimit,AggCandLimitExplain,DoingBusinessLimits,DoingBusinessMinimum,DoingBusinessDonors,DoingBusinessContribLimit,DoingBusinessLimit_Period,DoingBusinessLimit_Max,DoingBusinessLimit_Explained,DoingBusinessCandidates,DoingBusinessParties,DoingBusinessOther,Lobbyist_Limits,Lobbyist_Limits_Explain,Session_Limit,Session_Limit_Explain,CandLimitExemptions,CandLimitExemptionsExplained,SpecialConditionsChangeLimits,SpecialConditionsLimitsExplained
"MT1996","MT",1996,"Mont. Code Ann. §§ 13-37-216, 13-35-227, 13-37-218, 15-30-101(8)","No","aggregate contributions from PACs to senate and house",1984,"No",,1984,"No",,"Limited",100,"Per Election",200,,100,"Per Election",200,,400,"Per Election",800,,,,,,"Limited",100,"Per Election",200,"A candidate for the state house of representatives may receive no more than $1050 in total combined monetary contributions from all political committees contributing to his campaign.",100,"Per Election",200,"A candidate for the state senate may receive no more than $1,750 in total combined monetary contributions from all political committees contributing to his campaign.",400,"Per Election",800,,,,,,"No",,,,,,,,,,,,,,,,,"Prohibited",,,,"This section does not prohibit the establishment or administration of a separate, segregated fund to be used for making political contributions or expenditures if the fund consists only of voluntary contributions solicited from an individual who is a shareholder, an employee, or a member of the corporation.",,,,,,,,,"Limited",100,"Per Election",200,"labor unions fall under PAC definition",100,"Per Election",200,,400,"Per Election",800,,"Limited",500,"Per Election",1000,,800,"Per Election",1600,,15000,"Per Election",30000,,"Limited","500","Per Election","1000",,"800","Per Election","1600",,"15000","Per Election","30000",,"Unlimited",,,,,,,,,,,,,"No",,"No",,,,,,,,,,"No",,"No",,"No",,"No",
"MT2018","MT",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MT2004","MT",2004,"Mont. Code Ann. §§ 13-37-216, 13-35-227, 13-37-218, 15-30-101(8)","No","aggregate contributions from PACs to senate and house",2003,"No",,2004,"No",,"Limited",130,"Per Election",260,,130,"Per Election",260,,500,"Per Election",1000,,,,,,"Limited",130,"Per Election",260,"A candidate for the state house of representatives may receive no more than $1,300 in total combined monetary contributions from all political committees contributing to his campaign.",130,"Per Election",260,"A candidate for the state senate may receive no more than $2,150 in total combined monetary contributions from all political committees contributing to his campaign.",500,"Per Election",1000,,,,,,"No",,,,,,,,,,,,,,,,,"Prohibited",,,,"This section does not prohibit the establishment or administration of a separate, segregated fund to be used for making political contributions or expenditures if the fund consists only of voluntary contributions solicited from an individual who is a shareholder, an employee, or a member of the corporation.",,,,,,,,,"Limited",130,"Per Election",260,"labor unions fall under PAC definition",130,"Per Election",260,,500,"Per Election",1000,,"Limited",650,"Per Election",1300,,1050,"Per Election",2100,,18000,"Per Election",36000,,"Limited","650","Per Election","1300",,"1050","Per Election","2100",,"18000","Per Election","36000",,"Unlimited",,,,,,,,,,,,,"No",,"No",,,,,,,,,,"No",,"No",,"No",,"No",
"IA1996","IA",1996,"Historic: Iowa Code § 56.15; Current: Iowa Code § 68A.501 et seq.","No",,,"No",,,"No",,"Unlimited",,,,,,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,,,,,"Prohibited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"No",,"No",,,,,,,,,,"No",,"Yes","No monetary or in-kind contributions may be accepted by a legislator during a legislative session unless the legislator has filed nominating papers for a special election that will take place during the legislative session.","No",,,
"GA2002","GA",2002,"Ga. Code Ann. § 21-5-41.","No",,,"No",,,"No",,"Limited",2000,"Per Election",4000,"Limit in primary elections is $4,000, Limit in general elections is $4,000. Limit in primary and general election run offs is $1,000.",2000,"Per Election",4000,"Limit in primary elections is $4,000, Limit in general elections is $4,000. Limit in primary and general election run offs is $1,000.",5000,"Per Election",10000,"Limit in primary elections is $5,000, Limit in general elections is $5,000. Limit in primary and general election run offs is $3,000.",,,,,"Limited",2000,"Per Election",4000,"Limit in primary elections is $2,000, Limit in general elections is $2,000. Limit in primary and general election run offs is $1,000.",2000,"Per Election",4000,"Limit in primary elections is $2,000, Limit in general elections is $2,000. Limit in primary and general election run offs is $1,000.",5000,"Per Election",10000,"Limit in primary elections is $5,000, Limit in general elections is $5,000. Limit in primary and general election run offs is $3,000.",,,,,"No",,,,,,,,,,,,,,,,,"Limited",2000,"Per Election",4000,"Limit in primary elections is $2,000, Limit in general elections is $2,000. Limit in primary and general election run offs is $1,000.",2000,"Per Election",4000,"Limit in primary elections is $2,000, Limit in general elections is $2,000. Limit in primary and general election run offs is $1,000.",5000,"Per Election",10000,"Limit in primary elections is $5,000, Limit in general elections is $5,000. Limit in primary and general election run offs is $3,000.","Limited",2000,"Per Election",4000,"Limit in primary elections is $2,000, Limit in general elections is $2,000. Limit in primary and general election run offs is $1,000.",2000,"Per Election",4000,"Limit in primary elections is $2,000, Limit in general elections is $2,000. Limit in primary and general election run offs is $1,000.",5000,"Per Election",10000,"Limit in primary elections is $5,000, Limit in general elections is $5,000. Limit in primary and general election run offs is $3,000.","Limited",2000,"Per Year",3000,"Limit in non-election years is $1,000. Limit in election years is $2,000.",2000,"Per Year",3000,"Limit in non-election years is $1,000. Limit in election years is $2,000.",5000,"Per Year",8000,"Limit in non-election years is $1,000. Limit in election years is $5,000.","Limited","2000","Per Year","3000","Limit in non-election years is $1,000. Limit in election years is $2,000.","2000","Per Year","3000","Limit in non-election years is $1,000. Limit in election years is $2,000.","5000","Per Year","3000","Limit in non-election years is $1,000. Limit in election years is $2,000.","No",,,,,,,,,,,,,"No",,"No",,,,,,,,,,"No",,"Yes","Members of the General Assembly, state-wide elected officers, and campaign committees of candidates are prohibited from seeking or accepting contributions or pledges of contributions during legislative sessions. This does not apply to judicial officers or judicial candidates elected state-wide.","No",,"No",
"GA2004","GA",2004,"Ga. Code Ann. § 21-5-41.","No",,,"No",,,"No",,"Limited",2000,"Per Election",4000,"Limit in primary elections is $4,000, Limit in general elections is $4,000. Limit in primary and general election run offs is $1,000.",2000,"Per Election",4000,"Limit in primary elections is $4,000, Limit in general elections is $4,000. Limit in primary and general election run offs is $1,000.",5000,"Per Election",10000,"Limit in primary elections is $5,000, Limit in general elections is $5,000. Limit in primary and general election run offs is $3,000.",,,,,"Limited",2000,"Per Election",4000,"Limit in primary elections is $2,000, Limit in general elections is $2,000. Limit in primary and general election run offs is $1,000.",2000,"Per Election",4000,"Limit in primary elections is $2,000, Limit in general elections is $2,000. Limit in primary and general election run offs is $1,000.",5000,"Per Election",10000,"Limit in primary elections is $5,000, Limit in general elections is $5,000. Limit in primary and general election run offs is $3,000.",,,,,"No",,,,,,,,,,,,,,,,,"Limited",2000,"Per Election",4000,"Limit in primary elections is $2,000, Limit in general elections is $2,000. Limit in primary and general election run offs is $1,000.",2000,"Per Election",4000,"Limit in primary elections is $2,000, Limit in general elections is $2,000. Limit in primary and general election run offs is $1,000.",5000,"Per Election",10000,"Limit in primary elections is $5,000, Limit in general elections is $5,000. Limit in primary and general election run offs is $3,000.","Limited",2000,"Per Election",4000,"Limit in primary elections is $2,000, Limit in general elections is $2,000. Limit in primary and general election run offs is $1,000.",2000,"Per Election",4000,"Limit in primary elections is $2,000, Limit in general elections is $2,000. Limit in primary and general election run offs is $1,000.",5000,"Per Election",10000,"Limit in primary elections is $5,000, Limit in general elections is $5,000. Limit in primary and general election run offs is $3,000.","Limited",2000,"Per Year",3000,"Limit in non-election years is $1,000. Limit in election years is $2,000.",2000,"Per Year",3000,"Limit in non-election years is $1,000. Limit in election years is $2,000.",5000,"Per Year",8000,"Limit in non-election years is $1,000. Limit in election years is $5,000.","Limited","2000","Per Year","3000","Limit in non-election years is $1,000. Limit in election years is $2,000.","2000","Per Year","3000","Limit in non-election years is $1,000. Limit in election years is $2,000.","5000","Per Year","3000","Limit in non-election years is $1,000. Limit in election years is $2,000.","No",,,,,,,,,,,,,"No",,"No",,,,,,,,,,"No",,"Yes","Members of the General Assembly, state-wide elected officers, and campaign committees of candidates are prohibited from seeking or accepting contributions or pledges of contributions during legislative sessions. This does not apply to judicial officers or judicial candidates elected state-wide.","No",,"No",
"GA2006","GA",2006,"Ga. Code Ann. § 21-5-41.","No",,,"No",,,"No",,"Limited",2000,"Per Election",4000,"Limit in primary elections is $4,000, Limit in general elections is $4,000. Limit in primary and general election run offs is $1,000.",2000,"Per Election",4000,"Limit in primary elections is $4,000, Limit in general elections is $4,000. Limit in primary and general election run offs is $1,000.",5000,"Per Election",10000,"Limit in primary elections is $5,000, Limit in general elections is $5,000. Limit in primary and general election run offs is $3,000.",,,,,"Limited",2000,"Per Election",4000,"Limit in primary elections is $2,000, Limit in general elections is $2,000. Limit in primary and general election run offs is $1,000.",2000,"Per Election",4000,"Limit in primary elections is $2,000, Limit in general elections is $2,000. Limit in primary and general election run offs is $1,000.",5000,"Per Election",10000,"Limit in primary elections is $5,000, Limit in general elections is $5,000. Limit in primary and general election run offs is $3,000.",,,,,"No",,,,,,,,,,,,,,,,,"Limited",2000,"Per Election",4000,"Limit in primary elections is $2,000, Limit in general elections is $2,000. Limit in primary and general election run offs is $1,000.",2000,"Per Election",4000,"Limit in primary elections is $2,000, Limit in general elections is $2,000. Limit in primary and general election run offs is $1,000.",5000,"Per Election",10000,"Limit in primary elections is $5,000, Limit in general elections is $5,000. Limit in primary and general election run offs is $3,000.","Limited",2000,"Per Election",4000,"Limit in primary elections is $2,000, Limit in general elections is $2,000. Limit in primary and general election run offs is $1,000.",2000,"Per Election",4000,"Limit in primary elections is $2,000, Limit in general elections is $2,000. Limit in primary and general election run offs is $1,000.",5000,"Per Election",10000,"Limit in primary elections is $5,000, Limit in general elections is $5,000. Limit in primary and general election run offs is $3,000.","Limited",2000,"Per Election",4000,"Limit in primary elections is $2,000, Limit in general elections is $2,000. Limit in primary and general election run offs is $1,000.",2000,"Per Election",4000,"Limit in primary elections is $2,000, Limit in general elections is $2,000. Limit in primary and general election run offs is $1,000.",5000,"Per Election",10000,"Limit in primary elections is $5,000, Limit in general elections is $5,000. Limit in primary and general election run offs is $3,000.","Limited","2000","Per Election","4000","Limit in primary elections is $2,000, Limit in general elections is $2,000. Limit in primary and general election run offs is $1,000.","2000","Per Election","4000","Limit in primary elections is $2,000, Limit in general elections is $2,000. Limit in primary and general election run offs is $1,000.","5000","Per Election","10000","Limit in primary elections is $5,000, Limit in general elections is $5,000. Limit in primary and general election run offs is $3,000.","No",,,,,,,,,,,,,"No",,"No",,,,,,,,,,"No",,"Yes","Members of the General Assembly, state-wide elected officers, and campaign committees of candidates are prohibited from seeking or accepting contributions or pledges of contributions during legislative sessions. This does not apply to judicial officers or judicial candidates elected state-wide.","No",,"No",
"IA1998","IA",1998,"Historic: Iowa Code § 56.15; Current: Iowa Code § 68A.501 et seq.","No",,,"No",,,"No",,"Unlimited",,,,,,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,,,,,"Prohibited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"No",,"No",,,,,,,,,,"No",,"Yes","No monetary or in-kind contributions may be accepted by a legislator during a legislative session unless the legislator has filed nominating papers for a special election that will take place during the legislative session.","No",,,
"IA2000","IA",2000,"Historic: Iowa Code § 56.15; Current: Iowa Code § 68A.501 et seq.","No",,,"No",,,"No",,"Unlimited",,,,,,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,,,,,"Prohibited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"No",,"No",,,,,,,,,,"No",,"Yes","No monetary or in-kind contributions may be accepted by a legislator during a legislative session unless the legislator has filed nominating papers for a special election that will take place during the legislative session.","No",,,
"IA2002","IA",2002,"Historic: Iowa Code § 56.15; Current: Iowa Code § 68A.501 et seq.","No",,,"No",,,"No",,"Unlimited",,,,,,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,,,,,"Prohibited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"No",,"No",,,,,,,,,,"No",,"Yes","No monetary or in-kind contributions may be accepted by a legislator during a legislative session unless the legislator has filed nominating papers for a special election that will take place during the legislative session.","No",,,
"IA2004","IA",2004,"Iowa Code § 68A.501 et seq.","No",,,"No",,,"No",,"Unlimited",,,,,,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,,,,,"Prohibited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"No",,"No",,,,,,,,,,"No",,"Yes","No monetary or in-kind contributions may be accepted by a legislator during a legislative session unless the legislator has filed nominating papers for a special election that will take place during the legislative session.","No",,,
"IA2006","IA",2006,"Iowa Code § 68A.501 et seq.","No",,,"No",,,"No",,"Unlimited",,,,,,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,,,,,"Prohibited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"No",,"No",,,,,,,,,,"No",,"Yes","No monetary or in-kind contributions may be accepted by a legislator during a legislative session unless the legislator has filed nominating papers for a special election that will take place during the legislative session.","No",,,
"IA2008","IA",2008,"Iowa Code § 68A.501 et seq.","No",,,"No",,,"No",,"Unlimited",,,,,,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,,,,,"Prohibited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"No",,"No",,,,,,,,,,"No",,"Yes","No monetary or in-kind contributions may be accepted by a legislator during a legislative session unless the legislator has filed nominating papers for a special election that will take place during the legislative session.","No",,,
"MD2008","MD",2008,"2002 Md. Laws, Chap. 291, §4; Md. Election Law Code Ann. §§ 13-225 - 13-235","No",,,"Yes","Only affects contribution  for state or local parties to candidates. The limit is based on population. A state or local party may contribute $1 for every 2 registered voters in the state or county regardless of party affiliation.  This number is based on the total number of registered voters for the immediately preceeding gubernatorial election.",,"No",,"Limited",4000,"Per Election Cycle",4000,,4000,"Per Election Cycle",4000,,4000,"Per Election Cycle",4000,,4000,"Per Election Cycle",,,"Limited",6000,"Per Election Cycle",6000,,6000,"Per Election Cycle",6000,,6000,"Per Election Cycle",6000,,6000,"Per Election Cycle",,,"No",,,,,,,,,,,,,,,,,"Limited",4000,"Election Cycle",4000,,4000,"Election Cycle",4000,,4000,"Election Cycle",4000,,"Limited",4000,"Election Cycle",4000,,4000,"Election Cycle",4000,,4000,"Election Cycle",4000,,"Limited",1572423,"Election Cycle",1572423,"Limit is $1 for every 2 registered voters as of January 1, 2007, regardless of party affiliation. Figure is based on number of registered voters in the state for the 2006 Gubernatorial election.",1572423,"Election Cycle",1572423,"Limit is $1 for every 2 registered voters as of January 1, 2007, regardless of party affiliation. Figure is based on number of registered voters in the state for the 2006 Gubernatorial election.",1572423,"Election Cycle",1572423,"Limit is $1 for every 2 registered voters as of January 1, 2007, regardless of party affiliation. Figure is based on number of registered voters in the state for the 2006 Gubernatorial election.","Limited","Varies","Election Cycle","Varies","Limit is $1 for every 2 registered voters as of January 1, 2007, regardless of party affiliation. Approximately $5980 (Kent) to $253,962 (Montgomery). Figure is based on number of registered voters in that county for the 2006 Gubernatorial election.","Varies","Election Cycle","Varies","Limit is $1 for every 2 registered voters as of January 1, 2007, regardless of party affiliation. Approximately $5980 (Kent) to $253,962 (Montgomery). Figure is based on number of registered voters in that county for the 2006 Gubernatorial election.","Varies","Election Cycle","Varies","Limit is $1 for every 2 registered voters as of January 1, 2007, regardless of party affiliation. Approximately $5980 (Kent) to $253,962 (Montgomery). Figure is based on number of registered voters in that county for the 2006 Gubernatorial election.","Limited",6000,"Election Cycle",6000,"Limit not applicable when a slate gives to a candidate on that slate.",6000,"Election Cycle",6000,"Limit not applicable when a slate gives to a candidate on that slate.",6000,"Election Cycle",6000,"Limit not applicable when a slate gives to a candidate on that slate.","Yes","$10,000 aggregate limit for all candidates during an election cycle.","No",,,,,,,,,,"Yes","A lobbyist, or person acting on a lobbyist's behalf, may not at any time solicit funds for, or transfer funds to a member or candidate for general assembly. A lobbyist may not serve on a member's or candidate's fundraising committee or political committee or act as the treasurer or chair of a political committee intended to benefit a member or candidate for election to the General Assembly. However, a lobbyist may make personal contributions. A lobbyist may provide recommendations to others regarding who to donate to. A lobbyist may attend a candidate fundraiser if: (1) a political action committee purchases the tickets, (2) the comittee gives the lobyist the ticket, and (3) the lobbyist neither solicited nor transmitted the ticket payment.","Yes","Absolute prohibition on receiving or soliciting contributionns, conducting or selling tickets to a fundraising event, or depositing any contributions that were not deposited prior to the start of the session.","No",,"No",
"MD2010","MD",2010,"2002 Md. Laws, Chap. 291, §4; Md. Election Law Code Ann. §§ 13-225 - 13-235","No",,,"Yes","Only affects contribution  for state or local parties to candidates. The limit is based on population. A state or local party may contribute $1 for every 2 registered voters in the state or county regardless of party affiliation.  This number is based on the total number of registered voters for the immediately preceeding gubernatorial election.",,"No",,"Limited",4000,"Per Election Cycle",4000,,4000,"Per Election Cycle",4000,,4000,"Per Election Cycle",4000,,4000,"Per Election Cycle",,,"Limited",6000,"Per Election Cycle",6000,,6000,"Per Election Cycle",6000,,6000,"Per Election Cycle",6000,,6000,"Per Election Cycle",,,"No",,,,,,,,,,,,,,,,,"Limited",4000,"Election Cycle",4000,,4000,"Election Cycle",4000,,4000,"Election Cycle",4000,,"Limited",4000,"Election Cycle",4000,,4000,"Election Cycle",4000,,4000,"Election Cycle",4000,,"Limited",1572423,"Election Cycle",1572423,"Limit is $1 for every 2 registered voters as of January 1, 2007, regardless of party affiliation. Figure is based on number of registered voters in the state for the 2006 Gubernatorial election.",1572423,"Election Cycle",1572423,"Limit is $1 for every 2 registered voters as of January 1, 2007, regardless of party affiliation. Figure is based on number of registered voters in the state for the 2006 Gubernatorial election.",1572423,"Election Cycle",1572423,"Limit is $1 for every 2 registered voters as of January 1, 2007, regardless of party affiliation. Figure is based on number of registered voters in the state for the 2006 Gubernatorial election.","Limited","Varies","Election Cycle","Varies","Limit is $1 for every 2 registered voters as of January 1, 2007, regardless of party affiliation. Approximately $5980 (Kent) to $253,962 (Montgomery). Figure is based on number of registered voters in that county for the 2006 Gubernatorial election.","Varies","Election Cycle","Varies","Limit is $1 for every 2 registered voters as of January 1, 2007, regardless of party affiliation. Approximately $5980 (Kent) to $253,962 (Montgomery). Figure is based on number of registered voters in that county for the 2006 Gubernatorial election.","Varies","Election Cycle","Varies","Limit is $1 for every 2 registered voters as of January 1, 2007, regardless of party affiliation. Approximately $5980 (Kent) to $253,962 (Montgomery). Figure is based on number of registered voters in that county for the 2006 Gubernatorial election.","Limited",6000,"Election Cycle",6000,"Limit not applicable when a slate gives to a candidate on that slate.",6000,"Election Cycle",6000,"Limit not applicable when a slate gives to a candidate on that slate.",6000,"Election Cycle",6000,"Limit not applicable when a slate gives to a candidate on that slate.","Yes","$10,000 aggregate limit for all candidates during an election cycle.","No",,,,,,,,,,"Yes","A lobbyist, or person acting on a lobbyist's behalf, may not at any time solicit funds for, or transfer funds to a member or candidate for general assembly. A lobbyist may not serve on a member's or candidate's fundraising committee or political committee or act as the treasurer or chair of a political committee intended to benefit a member or candidate for election to the General Assembly. However, a lobbyist may make personal contributions. A lobbyist may provide recommendations to others regarding who to donate to. A lobbyist may attend a candidate fundraiser if: (1) a political action committee purchases the tickets, (2) the comittee gives the lobyist the ticket, and (3) the lobbyist neither solicited nor transmitted the ticket payment.","Yes","Absolute prohibition on receiving or soliciting contributionns, conducting or selling tickets to a fundraising event, or depositing any contributions that were not deposited prior to the start of the session.","No",,"No",
"MD2012","MD",2012,"2002 Md. Laws, Chap. 291, §4; Md. Election Law Code Ann. §§ 13-225 - 13-235","No",,,"Yes","Only affects contribution  for state or local parties to candidates. The limit is based on population. A state or local party may contribute $1 for every 2 registered voters in the state or county regardless of party affiliation.  This number is based on the total number of registered voters for the immediately preceeding gubernatorial election.",,"No",,"Limited",4000,"Per Election Cycle",4000,,4000,"Per Election Cycle",4000,,4000,"Per Election Cycle",4000,,4000,"Per Election Cycle",,,"Limited",6000,"Per Election Cycle",6000,,6000,"Per Election Cycle",6000,,6000,"Per Election Cycle",6000,,6000,"Per Election Cycle",,,"No",,,,,,,,,,,,,,,,,"Limited",4000,"Election Cycle",4000,,4000,"Election Cycle",4000,,4000,"Election Cycle",4000,,"Limited",4000,"Election Cycle",4000,,4000,"Election Cycle",4000,,4000,"Election Cycle",4000,,"Limited",1734143,"Election Cycle",1734143,"Limit is $1 for every 2 registered voters as of January 1, 2011, regardless of party affiliation. Figure is based on number of registered voters in the state for the 2010 Gubernatorial election.",1734143,"Election Cycle",1734143,"Limit is $1 for every 2 registered voters as of January 1, 2011, regardless of party affiliation. Figure is based on number of registered voters in the state for the 2010 Gubernatorial election.",1734143,"Election Cycle",1734143,"Limit is $1 for every 2 registered voters as of January 1, 2011, regardless of party affiliation. Figure is based on number of registered voters in the state for the 2010 Gubernatorial election.","Limited","Varies","Election Cycle","Varies","Limit is $1 for every 2 registered voters as of January 1, 2011, regardless of party affiliation. Approximately $6241 (Kent) to $286,715 (Montgomery). Figure is based on number of registered voters in that county for the 2010 Gubernatorial election.","Varies","Election Cycle","Varies","Limit is $1 for every 2 registered voters as of January 1, 2011, regardless of party affiliation. Approximately $6241 (Kent) to $286,715 (Montgomery). Figure is based on number of registered voters in that county for the 2010 Gubernatorial election.","Varies","Election Cycle","Varies","Limit is $1 for every 2 registered voters as of January 1, 2011, regardless of party affiliation. Approximately $6241 (Kent) to $286,715 (Montgomery). Figure is based on number of registered voters in that county for the 2010 Gubernatorial election.","Limited",6000,"Election Cycle",6000,"Limit not applicable when a slate gives to a candidate on that slate.",6000,"Election Cycle",6000,"Limit not applicable when a slate gives to a candidate on that slate.",6000,"Election Cycle",6000,"Limit not applicable when a slate gives to a candidate on that slate.","Yes","$10,000 aggregate limit for all candidates during an election cycle.","No",,,,,,,,,,"Yes","A lobbyist, or person acting on a lobbyist's behalf, may not at any time solicit funds for, or transfer funds to a member or candidate for general assembly. A lobbyist may not serve on a member's or candidate's fundraising committee or political committee or act as the treasurer or chair of a political committee intended to benefit a member or candidate for election to the General Assembly. However, a lobbyist may make personal contributions. A lobbyist may provide recommendations to others regarding who to donate to. A lobbyist may attend a candidate fundraiser if: (1) a political action committee purchases the tickets, (2) the comittee gives the lobyist the ticket, and (3) the lobbyist neither solicited nor transmitted the ticket payment.","Yes","Absolute prohibition on receiving or soliciting contributionns, conducting or selling tickets to a fundraising event, or depositing any contributions that were not deposited prior to the start of the session.","No",,"No",
